年度,失業率-大專及以上[%],失業率-高中職[%],失業率-國中及以下[%]
104,4.0,3.9,3.5
105,4.2,4.2,2.9
106,4.1,4.0,3.1
107,4.0,3.4,3.7
108,4.1,4.0,2.6
109,4.3,3.9,2.6
