年度,失業率-大專及以上[%],失業率-高中職[%],失業率-國中及以下[%]
104,3.7,3.7,2.1
105,4.4,3.6,1.5
106,3.2,3.5,2.7
107,3.4,3.7,3.8
108,4.3,3.1,2.1
109,3.6,3.5,3.6
