年度,失業率-大專及以上[%],失業率-高中職[%],失業率-國中及以下[%]
104,4.1,3.8,2.8
105,3.8,3.9,4.8
106,3.4,4.4,3.4
107,3.6,4.1,3.6
108,3.9,3.4,4.2
