年度,失業率-大專及以上[%],失業率-高中職[%],失業率-國中及以下[%]
104,4.2,3.4,2.8
105,4.2,3.8,3.2
106,3.8,3.6,3.6
107,4.1,3.4,2.6
108,4.3,3.2,2.1
