年度,失業率-大專及以上[%],失業率-高中職[%],失業率-國中及以下[%]
104,3.4,3.4,4.4
105,3.5,4.4,3.0
106,3.4,3.4,2.6
107,3.4,3.4,2.2
108,3.3,3.7,3.4
